area_id,gp_patients,gp_patients_diabetes,estimated_diabetes_prevalence
E05000504,11466,1009,8.8
E05000505,12072,1135,9.4
E05000506,12040,877,7.3
E05000507,14547,1469,10.1
E05000508,12183,1163,9.6
E05000509,9197,464,5
E05000510,14524,1467,10.1
E05000511,11027,608,5.5
E05000512,13026,1298,10
E05000513,10407,543,5.2
E05000514,13757,1335,9.7
E05000515,10187,573,5.6
E05000516,9878,282,2.9
E05000517,9971,293,2.9
E05000518,8960,343,3.8
E05000519,9019,342,3.8
E05000520,8825,450,5.1
E05000521,8314,424,5.1
E05000522,9975,331,3.3
E05000523,8908,594,6.7
E05000524,10161,288,2.8
E05000525,10713,287,2.7
E05000526,10488,328,3.1
E05000527,10303,389,3.8
E05000528,10911,363,3.3
E05000529,10109,377,3.7
E05000530,8849,303,3.4
E05000531,9622,316,3.3
E05000532,9553,447,4.7
E05000533,8192,494,6
E05000534,13269,915,6.9
E05000535,15145,1047,6.9
E05000536,17244,856,5
E05000537,15353,959,6.4
E05000538,10747,593,5.5
E05000539,10822,573,5.3
E05000540,12452,768,6.2
E05000541,12183,741,6.1
E05000542,14785,924,6.3
E05000543,13283,970,7.3
E05000544,15852,987,6.2
E05000545,12569,917,7.3
E05000546,14357,1101,7.7
E05000547,11897,689,5.8
E05000548,13654,627,4.6
E05000549,14339,643,4.5
E05000550,12783,836,6.6
E05000551,11785,601,5.1
E05000552,13772,531,3.9
E05000553,14550,1061,7.3
E05000554,10731,546,5.1
E05000555,8653,626,7.2
E05000556,9341,662,7.1
E05000557,8885,505,5.7
E05000558,8827,556,6.3
E05000559,8869,585,6.6
E05000560,9050,546,6
E05000561,9123,607,6.7
E05000562,10320,755,7.3
E05000563,9504,685,7.2
E05000564,10459,643,6.1
E05000565,8950,574,6.4
E05000566,8625,483,5.6
E05000567,9253,531,5.7
E05000568,9026,595,6.6
E05000569,9259,639,6.9
E05000570,8957,647,7.2
E05000571,9544,698,7.3
E05000572,10552,702,6.7
E05000590,12730,908,7.1
E05000591,12132,829,6.8
E05000592,11990,782,6.5
E05000593,9226,569,6.2
E05000594,9588,576,6
E05000595,12474,918,7.4
E05000596,13647,899,6.6
E05000597,9977,581,5.8
E05000598,9746,555,5.7
E05000599,12535,839,6.8
E05000600,12311,824,6.7
E05000601,11958,812,6.8
E05000602,10329,681,6.6
E05000603,14333,1088,7.6
E05000604,14570,928,6.4
E05000605,11983,798,6.7
E05000606,12096,876,7.3
E05000607,10652,720,6.8
E05000608,11364,721,6.4
E05000609,11982,773,6.5
E05000610,14509,467,3.2
E05000611,14819,647,4.4
E05000612,15209,695,4.6
E05000613,16877,479,2.8
E05000614,14780,493,3.3
E05000615,14745,948,6.4
E05000616,15138,927,6.1
E05000617,16849,718,4.3
E05000618,14552,547,3.8
E05000619,14045,462,3.3
E05000620,17318,762,4.4
E05000621,15994,837,5.2
E05000622,16478,707,4.3
E05000623,14407,506,3.5
E05000624,15969,595,3.7
E05000625,16742,396,2.4
E05000626,16444,1010,6.1
E05000627,12619,496,3.9
E05000628,16072,727,4.5
E05000629,15929,556,3.5
E05000630,10848,453,4.2
E05000631,10391,419,4
E05000632,11042,459,4.2
E05000633,9336,391,4.2
E05000634,11533,837,7.3
E05000635,11221,690,6.2
E05000636,10627,524,5
E05000637,8342,170,2
E05000638,13107,531,4.1
E05000639,9868,520,5.3
E05000640,10163,486,4.8
E05000641,9686,313,3.2
E05000642,11857,823,6.9
E05000643,10971,483,4.4
E05000644,12002,416,3.9
E05000645,7317,326,4.5
E05000646,9507,438,4.6
E05000647,8920,377,4.2
E05000648,12623,727,5.8
E05000649,9217,375,4.2
E05009288,1975,55,2.8
E05009292,170,5,3.3
E05009302,2009,56,2.8
E05009304,251,8,3.3
E05009305,1099,26,2.9
E05009308,1138,78,7
E05009309,291,9,3.3
E05009310,164,5,3.3
E05009317,18529,1102,6
E05009318,14116,694,4.9
E05009319,14647,915,6.3
E05009320,11921,711,6
E05009321,9345,663,7.1
E05009322,10730,740,6.9
E05009323,12979,527,4.1
E05009324,14666,618,4.2
E05009325,14585,1140,7.8
E05009326,4703,339,7.2
E05009327,16732,1307,7.8
E05009328,5771,473,8.2
E05009329,12049,1082,9
E05009330,9950,501,5.1
E05009331,18295,1206,6.6
E05009332,12268,986,8
E05009333,14393,961,7
E05009334,10963,986,9
E05009335,12417,832,6.7
E05009336,15216,1181,7.8
E05009367,7449,391,5.3
E05009368,12875,830,6.5
E05009369,12322,638,5.2
E05009370,8690,518,6
E05009371,9092,390,4.3
E05009372,11702,789,6.8
E05009373,12023,786,6.5
E05009374,11210,664,5.9
E05009375,12640,666,5.3
E05009376,12802,809,6.3
E05009377,12016,564,4.7
E05009378,13252,546,4.1
E05009379,11996,924,7.7
E05009380,12540,842,6.7
E05009381,11503,605,5.3
E05009382,8969,538,6
E05009383,13281,861,6.5
E05009384,8677,455,5.2
E05009385,12671,720,5.7
E05009386,12095,689,5.7
E05009387,9014,499,5.6
E05009388,8605,306,3.6
E05009389,7731,214,2.8
E05009390,7433,241,3.3
E05009391,7459,286,3.8
E05009392,9448,421,4.5
E05009393,8877,270,3.1
E05009394,6635,414,6.2
E05009395,10498,439,4.2
E05009396,8427,618,7.3
E05009397,8477,313,3.7
E05009398,5251,225,4.3
E05009399,8507,494,5.8
E05009400,5851,175,3
E05009401,8053,239,3
E05009402,8648,344,4
E05009403,7649,306,4
E05009404,5770,331,5.7
E05009405,7920,281,3.5
